Count;Channel;Notenumber;Velocity
1;1;43;80
2;1;62;88
3;1;59;80
4;1;65;80
5;2;79;116
6;1;62;0
7;1;59;0
8;1;65;0
9;2;78;96
10;2;79;0
11;1;43;0
12;2;79;92
13;2;78;0
14;2;81;100
15;2;79;0
16;2;81;0
17;2;79;106
18;2;79;0
19;1;43;68
20;1;58;88
21;1;61;80
22;1;64;104
23;2;79;116
24;1;58;0
25;1;61;0
26;1;64;0
27;2;78;92
28;2;79;0
29;2;79;104
30;2;78;0
31;1;43;0
32;2;81;100
33;2;79;0
34;2;79;104
35;2;81;0
36;2;79;0
37;2;83;92
38;1;43;68
39;1;62;80
40;1;59;78
41;1;65;80
42;2;83;0
43;2;84;80
44;1;62;0
45;1;59;0
46;1;65;0
47;2;83;91
48;2;84;0
49;2;82;100
50;2;83;0
51;1;43;0
52;2;82;0
53;2;81;84
54;1;43;68
55;1;58;84
56;1;61;80
57;1;64;77
58;2;82;84
59;2;81;0
60;1;58;0
61;1;61;0
62;1;64;0
63;2;82;0
64;2;81;90
65;2;80;84
66;1;43;0
67;2;81;0
68;2;80;0
69;2;79;88
70;1;43;72
71;1;62;90
72;1;59;80
73;1;65;90
74;2;79;0
75;1;62;0
76;1;59;0
77;1;65;0
78;2;67;84
79;2;67;0
80;2;69;70
81;1;43;0
82;2;67;100
83;2;69;0
84;2;66;116
85;2;67;0
86;2;66;0
87;2;67;92
88;2;68;91
89;2;67;0
90;2;68;0
91;2;69;100
92;2;70;80
93;2;69;0
94;2;70;0
95;2;71;100
96;2;71;0
97;1;36;68
98;2;72;104
99;1;60;70
100;1;55;64
101;1;64;76
102;1;36;0
103;2;72;0
104;1;60;0
105;1;55;0
106;1;64;0
107;2;72;91
108;2;72;0
109;2;72;100
110;1;43;70
111;2;72;0
112;2;72;92
113;1;60;72
114;1;55;59
115;1;64;80
116;1;43;0
117;2;72;0
118;1;60;0
119;1;55;0
120;1;64;0
121;1;36;72
122;2;72;92
123;1;60;77
124;1;55;68
125;1;64;79
126;1;36;0
127;2;72;0
128;1;60;0
129;1;55;0
130;1;64;0
131;1;43;70
132;2;71;92
133;2;71;0
134;1;60;80
135;1;55;72
136;1;64;80
137;1;43;0
138;2;72;92
139;1;60;0
140;1;55;0
141;1;64;0
142;2;72;0
143;2;73;91
144;2;73;0
145;2;74;104
146;1;38;72
147;1;55;72
148;1;59;78
149;1;53;72
150;1;62;43
151;1;38;0
152;1;55;0
153;1;59;0
154;1;53;0
155;1;62;0
156;1;43;72
157;2;74;0
158;1;62;78
159;1;55;78
160;1;53;70
161;1;59;72
162;1;43;0
163;1;62;0
164;1;55;0
165;1;53;0
166;1;59;0
167;1;38;64
168;2;67;92
169;2;69;104
170;2;67;0
171;1;62;77
172;1;55;72
173;1;53;62
174;1;59;71
175;1;38;0
176;2;69;0
177;2;67;100
178;2;66;104
179;2;67;0
180;1;62;0
181;1;55;0
182;1;53;0
183;1;59;0
184;2;66;0
185;2;67;102
186;1;43;76
187;2;77;100
188;2;67;0
189;2;74;100
190;2;77;0
191;1;62;78
192;1;55;70
193;1;59;77
194;1;53;61
195;1;43;0
196;2;71;92
197;2;74;0
198;1;62;0
199;1;55;0
200;1;59;0
201;1;53;0
202;2;71;0
203;2;67;92
204;1;47;76
