Count;Channel;Notes;Velocity
1;1;64;56
2;1;64;88
3;1;64;127
4;1;61;30
5;1;61;0
6;1;64;43
7;1;64;0
8;1;61;29
9;1;61;0
10;1;64;32
11;1;64;0
12;1;61;25
13;1;61;0
14;1;64;25
15;1;64;0
16;1;61;29
17;1;61;0
18;1;64;29
19;1;64;0
20;1;64;88
21;1;64;24
22;1;64;0
23;1;64;40
24;1;64;88
25;1;64;127
26;1;61;27
27;1;64;27
28;1;61;0
29;1;64;0
30;1;61;29
31;1;61;0
32;1;64;27
33;1;64;0
34;1;61;25
35;1;61;0
36;1;64;34
37;1;64;0
38;1;61;31
39;1;61;0
40;1;64;37
41;1;64;0
42;1;57;41
43;1;64;72
44;1;64;0
45;1;64;56
46;1;64;127
47;1;57;0
48;1;61;25
49;1;61;0
50;1;64;33
51;1;64;0
52;1;57;28
53;1;57;0
54;1;61;33
55;1;61;0
56;1;64;32
57;1;64;0
58;1;57;36
59;1;64;0
60;1;64;88
61;1;64;56
62;1;64;127
63;1;62;37
64;1;57;0
65;1;62;0
66;1;66;42
67;1;66;0
68;1;57;33
69;1;57;0
70;1;62;31
71;1;62;0
72;1;66;34
73;1;64;40
74;1;66;0
75;1;64;0
76;1;64;88
77;1;64;127
78;1;60;26
79;1;60;0
80;1;66;36
81;1;66;0
82;1;61;28
83;1;61;0
84;1;64;33
85;1;64;0
86;1;64;72
87;1;64;0
88;1;64;24
89;1;64;88
90;1;64;127
91;1;61;26
92;1;61;0
93;1;63;46
94;1;63;0
95;1;60;38
96;1;60;0
97;1;63;25
98;1;63;0
99;1;64;104
100;1;64;40
101;1;64;0
102;1;64;72
103;1;64;127
104;1;61;35
105;1;61;0
106;1;61;22
107;1;61;0
108;1;64;21
109;1;64;0
110;1;61;27
111;1;61;0
112;1;64;39
113;1;64;0
114;1;68;55
115;1;61;28
116;1;61;0
117;1;64;26
118;1;68;0
119;1;68;48
120;1;68;0
121;1;64;0
122;1;68;55
123;1;64;72
124;1;64;0
125;1;63;31
126;1;64;56
127;1;64;127
128;1;64;104
129;1;63;0
130;1;66;33
131;1;66;0
132;1;63;26
133;1;63;0
134;1;66;27
135;1;66;0
136;1;63;31
137;1;63;0
138;1;66;33
139;1;68;0
140;1;66;0
141;1;68;49
142;1;63;32
143;1;63;0
144;1;66;38
145;1;68;0
146;1;68;52
147;1;68;0
148;1;66;0
149;1;68;61
150;1;64;88
151;1;64;0
152;1;64;24
153;1;64;72
154;1;64;127
155;1;61;29
156;1;61;0
157;1;64;30
158;1;64;0
159;1;61;23
160;1;61;0
161;1;64;32
162;1;68;0
163;1;64;0
164;1;69;54
165;1;57;38
166;1;64;56
167;1;64;0
168;1;64;104
169;1;64;127
170;1;61;26
171;1;57;0
172;1;61;0
173;1;66;32
174;1;66;0
175;1;57;26
176;1;57;0
177;1;61;27
178;1;61;0
179;1;66;33
180;1;64;88
181;1;69;0
182;1;66;0
183;1;68;51
184;1;64;0
185;1;64;24
186;1;64;72
187;1;64;127
188;1;59;51
189;1;59;0
190;1;64;40
191;1;64;0
192;1;59;24
193;1;59;0
194;1;64;34
195;1;64;56
196;1;66;53
197;1;64;0
198;1;68;0
199;1;64;0
200;1;57;38
201;1;64;72
202;1;64;127
203;1;57;0
204;1;59;29
205;1;66;0
206;1;59;0
207;1;63;18
208;1;57;40
209;1;57;0
210;1;63;0
211;1;71;48
212;1;59;34
213;1;59;0
214;1;63;40
215;1;71;0
216;1;63;0
217;1;64;51
218;1;64;56
219;1;64;0
220;1;64;56
221;1;64;127
222;1;59;35
223;1;59;0
224;1;64;25
225;1;64;0
226;1;64;0
227;1;59;24
228;1;59;0
229;1;64;30
230;1;64;0
231;1;59;24
232;1;59;0
233;1;64;36
234;1;64;0
235;1;59;26
236;1;59;0
237;1;64;28
238;1;64;0
239;1;64;88
240;1;64;24
241;1;64;0
242;1;64;72
243;1;64;127
244;1;59;35
